name,registry_type,registry_id,registry_court,structure,list_index,list_date_day,list_date_month,list_date_year
ZEDA GmbH,HRB,208163,Hannover,Gesellschaft mit beschränkter Haftung,0,15,02,2012
A & M KFZ-Meisterbetrieb Mamakis GmbH,HRB,9051,Hagen,Gesellschaft mit beschränkter Haftung,0,13,03,2012
addisol GmbH,HRB,94547,Frankfurt am Main,Gesellschaft mit beschränkter Haftung,0,24,08,2012
HA Abwicklungs GmbH,HRB,714063,Mannheim,Gesellschaft mit beschränkter Haftung,0,20,10,2015
HA Abwicklungs GmbH,HRB,714063,Mannheim,Gesellschaft mit beschränkter Haftung,1,29,01,2013
HA Abwicklungs GmbH,HRB,714063,Mannheim,Gesellschaft mit beschränkter Haftung,2,07,03,2012
TUKIC Bauregie GmbH,HRB,14384 KI,Kiel,Gesellschaft mit beschränkter Haftung,0,13,12,2011
Proxima M&A Beratungsgesellschaft mbH,HRB,199086,München,Gesellschaft mit beschränkter Haftung,0,01,06,2012
STD Transportdienstleistungen UG (haftungsbeschränkt),HRB,100186,Saarbrücken,Gesellschaft mit beschränkter Haftung,0,18,04,2012
Syberg GmbH,HRB,75482,Köln,Gesellschaft mit beschränkter Haftung,0,16,05,2012
gh Mobilfunk GmbH,HRB,27078,Augsburg,Gesellschaft mit beschränkter Haftung,0,02,10,2015
